danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity
0.544,0.935,0,-2.986,1,0.17,0.00213,0,0.115,0.676,170.019,178000,63
0.898,0.544,10,-7.293,0,0.0416,0.249,5.09E-05,0.103,0.708,115.99,162920,29
0.725,0.807,11,-4.332,1,0.315,0.352,0,0.462,0.848,140.045,174857,70
0.574,0.798,1,-7.811,1,0.513,0.717,0,0.223,0.296,85.107,238416,41
0.868,0.673,2,-7.331,1,0.196,0.0309,1.04E-05,0.316,0.557,119.016,237983,63
0.785,0.818,7,-8.711,1,0.099,0.624,0.149,0.149,0.0503,117.98,163759,65
0.506,0.665,5,-7.11,1,0.229,0.0662,0,0.146,0.144,149.872,151628,47
0.585,0.625,5,-5.94,1,0.109,0.0146,1.80E-06,0.131,0.28,68.68,185863,65
0.746,0.896,6,-4.015,0,0.227,0.246,9.78E-06,0.124,0.133,125.939,205714,67
0.624,0.751,8,-5.869,1,0.128,0.0244,0,0.0352,0.651,180.317,175549,41
0.7,0.879,0,-5.687,1,0.0594,0.00437,1.61E-05,0.111,0.708,126.03,232896,15
0.759,0.536,9,-6.663,0,0.173,0.821,4.57E-06,0.107,0.439,119.883,208080,73
0.691,0.854,6,-4.542,0,0.068,0.00181,0.00762,0.333,0.833,124.005,212825,63
0.789,0.617,1,-6.007,1,0.0934,0.857,0.0248,0.111,0.5,90.082,192000,53
0.547,0.693,1,-6.319,0,0.237,0.0829,1.17E-06,0.129,0.602,94.515,206587,44
0.61,0.894,5,-3.956,0,0.129,0.00317,0,0.0539,0.65,96.622,133679,64
0.637,0.578,0,-8.419,1,0.042,0.147,0.479,0.126,0.468,159.874,158705,35
0.581,0.652,11,-5.039,0,0.0496,0.439,0,0.351,0.358,90.634,223373,60
0.591,0.411,0,-9.14,0,0.0536,0.364,0.0225,0.152,0.195,139.97,198000,47
0.669,0.818,8,-6.2,1,0.0304,0.124,0.0454,0.168,0.556,141.93,158666,34
0.734,0.874,8,-3.158,1,0.0662,0.168,1.14E-05,0.0489,0.905,122.953,166028,82
0.748,0.734,0,-6.499,1,0.124,0.524,1.15E-05,0.0975,0.368,97.753,80081,76
0.828,0.617,4,-9.005,1,0.0501,0.625,0.000212,0.137,0.933,105.981,201856,27
0.578,0.564,5,-5.969,1,0.0286,0.0142,0,0.196,0.406,139.957,220076,43
0.79,0.66,1,-5.677,0,0.248,0.399,0,0.104,0.652,143.904,163156,74
0.742,0.703,10,-6.309,1,0.0442,0.0133,3.66E-06,0.0644,0.438,116.038,169849,51
0.775,0.687,1,-6.174,1,0.0725,0.493,8.50E-05,0.0958,0.541,108.017,202222,42
0.687,0.819,9,-6.67,0,0.431,0.218,0,0.392,0.568,81.185,153251,49
0.468,0.279,2,-11.436,1,0.0346,0.967,9.05E-06,0.24,0.527,195.833,209500,20
0.661,0.786,4,-3.582,0,0.0456,0.263,2.30E-05,0.142,0.25,107.974,194653,55
0.734,0.443,0,-5.73,0,0.0406,0.386,0,0.123,0.658,110.988,157952,55
0.615,0.624,10,-5.927,1,0.0363,0.00935,0,0.15,0.752,159.943,145627,50
0.593,0.467,6,-12.444,0,0.454,0.487,0.00025,0.448,0.648,78.69,122278,4
0.608,0.409,8,-7.207,1,0.0457,0.854,1.16E-06,0.197,0.206,123.508,196600,40
0.653,0.559,7,-8.396,1,0.0332,0.0112,2.64E-05,0.221,0.355,96.982,157600,52
0.666,0.62,0,-9.871,1,0.343,0.0639,1.41E-06,0.116,0.12,129.937,350219,38
0.625,0.786,8,-6.918,1,0.0601,0.169,4.95E-05,0.844,0.38,144.956,273641,36
0.707,0.484,9,-6.579,0,0.0481,0.891,0.00344,0.256,0.43,92.988,257960,60
0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,0.478,169.928,141806,90
0.644,0.74,10,-7.639,0,0.0355,0.0034,0.0192,0.105,0.229,101.996,181019,17
0.821,0.779,1,-3.248,1,0.121,0.0471,0,0.109,0.393,75.498,265627,50
0.731,0.355,1,-7.398,1,0.0306,0.847,0.723,0.0964,0.144,107.034,184742,29
0.749,0.649,8,-8.623,1,0.053,0.123,0,0.371,0.146,120.068,238054,53
0.662,0.525,6,-8.546,0,0.0341,0.281,0,0.199,0.577,133.937,149843,59
0.656,0.628,0,-9.288,1,0.0908,0.134,4.20E-05,0.0437,0.379,94.012,181755,17
0.551,0.755,11,-7.053,1,0.419,0.279,0,0.508,0.574,175.895,288123,66
0.461,0.195,10,-7.301,1,0.0352,0.873,0,0.11,0.381,110.193,170831,65
0.785,0.915,3,-2.945,1,0.0315,0.0538,0.002,0.179,0.923,127.999,193220,21
0.657,0.797,2,-5.234,1,0.0298,0.0394,0,0.117,0.327,146.027,202487,55
0.813,0.646,1,-7.666,1,0.367,0.156,0,0.116,0.293,142.037,136373,37
0.671,0.565,11,-7.401,0,0.16,0.274,6.51E-05,0.37,0.561,150.014,210197,66
0.768,0.82,7,-4.63,0,0.0474,0.179,0,0.689,0.625,129.965,213293,77
0.861,0.537,1,-8.199,0,0.159,0.504,0,0.289,0.769,102.014,151765,63
0.523,0.738,10,-5.322,0,0.109,0.00473,0,0.15,0.379,180.187,144498,52
0.746,0.251,11,-16.169,0,0.259,0.782,0.00203,0.106,0.18,139.999,120027,86
